name,ticker,change,change_percent,open,high,low,close,previous_close
NASDAQ OMX ABA Community Bank Total Rtn,I:ABQX,-20.1,-0.65,3076.02665605026,3095.21578822582,3052.98997478809,3093.92093544948,3093.92093544948
Cboe 100K Cardano / US Dollar RealPrice Index,I:ADA100K,-0.0034,-1.08,0.31370000000000003,0.31820000000000004,0.3054,0.30560000000000004,0.314
Cboe 10K Cardano / US Dollar RealPrice Index,I:ADA10KRP,-0.0031,-0.988,0.3138,0.31820000000000004,0.3055,0.3057,0.31370000000000003
Cboe 25K Cardano / US Dollar RealPrice Index,I:ADA25KRP,-0.0031,-0.988,0.31370000000000003,0.31820000000000004,0.3054,0.3057,0.31370000000000003
Cboe 50K Cardano / US Dollar RealPrice Index,I:ADA50KRP,-0.0035,-1.11,0.31370000000000003,0.31820000000000004,0.3054,0.30560000000000004,0.3141
Cboe 5000 Cardano / US Dollar RealPrice Index,I:ADA5KRP,-0.0035,-1.11,0.31370000000000003,0.31820000000000004,0.3055,0.3057,0.3141
The Asia Dow (USD),I:ADOW,-18.5,-0.508,3607.04,3642.91,3598.6800000000003,3642.48,3642.48
The Asia Dow (AUD),I:ADOWA,-26.0,-0.848,3024.27,3065.94,3020.85,3064.78,3064.78
The Asia Dow (EUR),I:ADOWE,-29.5,-0.945,3092.91,3122.06,3088.05,3121.64,3121.64
The Asia Dow (JPY),I:ADOWJ,-2.11,-0.0474,4404.7,4449.17,4356.38,4447.27,4447.27
PROSHARES ULTRA SILVER ETF,I:AGQIV,-0.24,-0.784,30.28,30.62,30.1,30.62,30.62
Cboe 100 Algorand / US Dollar RealPrice Index,I:ALGO100,-0.00262,-2.34,0.11155000000000001,0.11245000000000001,0.10762000000000001,0.10784,0.11180000000000001
Cboe 1000 Algorand / US Dollar RealPrice Index,I:ALGO1KRP,-0.0026,-2.33,0.11155000000000001,0.11245000000000001,0.10760000000000002,0.10771000000000001,0.11177000000000001
Cboe 5000 Algorand / US Dollar RealPrice Index,I:ALGO5KRP,-0.00254,-2.27,0.11155000000000001,0.11246,0.10757000000000001,0.10791,0.11171
AMERIBOR 1 Month Spot Rate,I:AMBOR1M,0.0,0.0,5.27747,5.27747,5.27747,5.27747,5.27747
AMERIBOR 1 Week Spot Rate,I:AMBOR1W,0.0,0.0,4.9455100000000005,4.9455100000000005,4.9455100000000005,4.9455100000000005,4.9455100000000005
AMERIBOR 1 Year Spot Rate,I:AMBOR1Y,0.0,0.0,4.720300000000001,4.720300000000001,4.720300000000001,4.720300000000001,4.720300000000001
AMERIBOR 2 Year Spot Rate,I:AMBOR2Y,0.0,0.0,3.9843,3.9843,3.9843,3.9843,3.9843
30 Day Average AMERIBOR Rate,I:AMBOR30,0.0,0.0,5.28314,5.28314,5.28314,5.28314,5.28314
AMERIBOR Term-30 Rate,I:AMBOR30T,0.0,0.0,5.3517,5.3517,5.3517,5.3517,5.3517
AMERIBOR 3 Month Spot Rate,I:AMBOR3M,0.0,0.0,5.41732,5.41732,5.41732,5.41732,5.41732
AMERIBOR 6 Month Spot Rate,I:AMBOR6M,0.0,0.0,5.439170000000001,5.439170000000001,5.439170000000001,5.439170000000001,5.439170000000001
90 Day Average AMERIBOR Rate,I:AMBOR90,0.0,0.0,5.27123,5.27123,5.27123,5.27123,5.27123
AMERIBOR Term-90 Rate,I:AMBOR90T,0.0,0.0,5.52751,5.52751,5.52751,5.52751,5.52751
One Month AMERIBOR Average Rate,I:AMBOX,0.0,0.0,5.2754,5.2754,5.2754,5.2754,5.2754
14 Day AMERIBOR Average Settlement,I:AMBRS,0.0,0.0,9473.04,9473.04,9473.04,9473.04,9473.04
14 Day AMERIBOR Average Rate,I:AMBRX,0.0,0.0,5.5247,5.5247,5.5247,5.5247,5.5247
Three Month AMERIBOR Compound Average Settlement,I:AMBTS,0.0,0.0,9478.61,9478.61,9478.61,9478.61,9478.61
Three Month AMERIBOR Compound Average Rate,I:AMBTX,0.0,0.0,5.2889,5.2889,5.2889,5.2889,5.2889
7 Day AMERIBOR Average Settlement,I:AMBWS,0.0,0.0,9473.19,9473.19,9473.19,9473.19,9473.19
7 Day AMERIBOR Average Rate,I:AMBWX,0.0,0.0,5.5247,5.5247,5.5247,5.5247,5.5247
AMERIBOR Unsecured Overnight Rate,I:AMERIBOR,0.0,0.0,5.50853,5.50853,5.50853,5.50853,5.50853
AMERIBOR Term-30 Rate,I:AMT1M,0.0,0.0,5.3517,5.3517,5.3517,5.3517,5.3517
Ameribor 30 Day Term Settlement Rate,I:AMT1R,0.0,0.0,5.16842,5.16842,5.16842,5.16842,5.16842
Ameribor 30 Day Term Settlement Value,I:AMT1S,0.0,0.0,9483.16,9483.16,9483.16,9483.16,9483.16
AMERIBOR Term-90 Rate,I:AMT3M,0.0,0.0,5.52751,5.52751,5.52751,5.52751,5.52751
Ameribor 90 Day Term Settlement Rate,I:AMT3R,0.0,0.0,5.52923,5.52923,5.52923,5.52923,5.52923
Ameribor 90 Day Term Settlement Value,I:AMT3S,0.0,0.0,9447.08,9447.08,9447.08,9447.08,9447.08
PROSHARES MSCI TRANSFORMATIONAL CHANGES ETF,I:ANEWIV,-0.04,-0.105,38.01,38.28,38.01,38.26,38.26
AllianzIM U.S. Large Cap Buffer10 Apr ETF Intraday Indicative Value,I:APRTIV,-0.07,-0.218,31.86,32.05,31.86,32.05,32.05
AllianzIM U.S. Large Cap Buffer20 Apr ETF Intraday Indicative Value,I:APRWIV,-0.04,-0.14,28.39,28.48,28.39,28.48,28.48
TrueShares Structured Outcome (April) ETF Intraday Indicative Value,I:APRZIV,-0.04,-0.135,29.27,29.53,29.27,29.53,29.53
Dow Jones Austria Index,I:ATDOW,-0.99,-0.325,303.44,305.01,302.57,305.01,305.01
Dow Jones Austria Index (USD),I:ATDOWD,-0.13,-0.0497,259.47,261.55,258.65,261.45,261.45
Cboe 150 Cosmos / US Dollar RealPrice Index,I:ATOM150,-0.109,-1.2,9.0867,9.098700000000001,8.8515,8.8634,9.093300000000001
Cboe 300 Cosmos / US Dollar RealPrice Index,I:ATOM300,-0.107,-1.18,9.085600000000001,9.0983,8.851600000000001,8.864,9.0923
Cboe 600 Cosmos / US Dollar RealPrice Index,I:ATOM600,-0.107,-1.18,9.0846,9.097900000000001,8.8521,8.8649,9.0924
Cboe 75 Cosmos / US Dollar RealPrice Index,I:ATOM75RP,-0.109,-1.2,9.086500000000001,9.099,8.8515,8.8635,9.0931
,I:AUAC,-0.0761,-0.00714,1061.79220737941,1066.24038494946,1059.21038153062,1066.0978500006,1066.0978500006
,I:AUACGL,-0.0766,-0.00714,1068.90252073798,1073.38048562064,1066.30340563929,1073.23699618356,1073.23699618356
,I:AUACT,-0.0767,-0.00713,1070.84878941795,1075.33490782501,1068.2449418238,1075.19115712089,1075.19115712089
Dow Jones Australia Index (USD),I:AUDOWD,-0.67,-0.15,444.92,447.86,442.68,447.46000000000004,447.46000000000004
TrueShares Structured Outcome (August) ETF Intraday Indicative Value,I:AUGZIV,-0.04,-0.118,33.69,33.96,33.69,33.96,33.96
Alpha Vee Quality Yield,I:AVCHQYLD,0.0,0.0,126.98,126.98,126.98,126.98,126.98
Alpha Vee Green Transportation,I:AVGRNTSP,0.0,0.0,845.22,845.22,845.22,845.22,845.22
Alpha Vee Risk Managed Enhanced US Equity,I:AVRMENEQ,0.0,0.0,715.44,715.44,715.44,715.44,715.44
Alpha Vee Risk Managed Top 5 Sector Equities & Treasury Bonds,I:AVT5EQTB,10.69,0.5,2153.07,2154.39,2135.9700000000003,2137.73,2137.73
Alpha Vee Risk Managed Top 5 Sector ETFs & Treasuries,I:AVT5ETTB,0.0,0.0,1147.1100000000001,1147.1100000000001,1147.1100000000001,1147.1100000000001,1147.1100000000001
Alpha Vee Risk Managed SMID Top 5 Sector Equities,I:AVT5SMID,0.0,0.0,3292.3,3292.3,3292.3,3292.3,3292.3
Alpha Vee US Mega Cap,I:AVUSMEGA,0.0,0.0,680.65,680.65,680.65,680.65,680.65
OMX Baltic Technology GI,I:B10GI,0.0,0.0,1269.70927103884,1275.81364253422,1266.65708529115,1275.81364253422,1275.81364253422
OMX Baltic Technology PI,I:B10PI,0.0,0.0,831.17593726931,835.17197542925,829.17791818933,835.17197542925,835.17197542925
OMX Baltic Telecommunications GI,I:B15GI,-12.1,-0.262,4589.61802906774,4613.80236663893,4589.00156652097,4613.80236663893,4613.80236663893
OMX Baltic Telecommunications PI,I:B15PI,-5.65,-0.262,2144.21830328551,2155.51695579746,2143.93029886604,2155.51695579746,2155.51695579746
OMX Baltic Health Care GI,I:B20GI,0.0,0.0,2364.86924523521,2364.86924523521,2364.86924523521,2364.86924523521,2364.86924523521
OMX Baltic Health Care PI,I:B20PI,0.0,0.0,1811.16814831337,1811.16814831337,1811.16814831337,1811.16814831337,1811.16814831337
OMX Baltic Banks GI,I:B3010GI,0.0,0.0,1223.55658504751,1223.55658504751,1223.55658504751,1223.55658504751,1223.55658504751
OMX Baltic Banks PI,I:B3010PI,0.0,0.0,1070.62715532263,1070.62715532263,1070.62715532263,1070.62715532263,1070.62715532263
OMX Baltic Financial Services GI,I:B3020GI,0.0,0.0,4392.31142575507,4392.31142575507,4392.31142575507,4392.31142575507,4392.31142575507
OMX Baltic Financial Services PI,I:B3020PI,0.0,0.0,3787.39079730362,3787.39079730362,3787.39079730362,3787.39079730362,3787.39079730362
OMX Baltic Financials GI,I:B30GI,0.0,0.0,1644.37520664783,1654.94924977659,1644.08843347464,1654.94924977659,1654.94924977659
OMX Baltic Financials PI,I:B30PI,0.0,0.0,1415.1048117776,1424.20454719745,1414.85802254383,1424.20454719745,1424.20454719745
OMX Baltic Real Estate GI,I:B35GI,0.0,0.0,347.22978288284,347.22978288284,347.22978288284,347.22978288284,347.22978288284
OMX Baltic Real Estate PI,I:B35PI,0.0,0.0,264.25842248078,264.25842248078,264.25842248078,264.25842248078,264.25842248078
OMX Baltic Consumer Products and Services GI,I:B4020GI,0.0,0.0,856.90797580047,856.90797580047,856.90797580047,856.90797580047,856.90797580047
OMX Baltic Consumer Products and Services PI,I:B4020PI,0.0,0.0,401.73813097376,401.73813097376,401.73813097376,401.73813097376,401.73813097376
OMX Baltic Media GI,I:B4030GI,0.0,0.0,1485.32104019142,1485.32104019142,1485.32104019142,1485.32104019142,1485.32104019142
OMX Baltic Media PI,I:B4030PI,0.0,0.0,1084.87084870849,1084.87084870849,1084.87084870849,1084.87084870849,1084.87084870849
OMX Baltic Retail GI,I:B4040GI,0.0,0.0,4078.15696359782,4078.15696359782,4078.15696359782,4078.15696359782,4078.15696359782
OMX Baltic Retail PI,I:B4040PI,0.0,0.0,1864.28747014044,1864.28747014044,1864.28747014044,1864.28747014044,1864.28747014044
OMX Baltic Travel and Leisure GI,I:B4050GI,0.0,0.0,842.4661749727,842.4661749727,842.4661749727,842.4661749727,842.4661749727
OMX Baltic Travel and Leisure PI,I:B4050PI,0.0,0.0,570.64366581631,570.64366581631,570.64366581631,570.64366581631,570.64366581631
OMX Baltic Consumer Discretionary GI,I:B40GI,-3.49,-0.298,1169.74539924465,1172.70123121969,1161.55254504907,1172.05178977112,1172.05178977112
OMX Baltic Consumer Discretionary PI,I:B40PI,-3.69,-0.352,1044.67489175883,1047.31468281984,1037.3580268449,1047.31468281984,1047.31468281984
"OMX Baltic Food, Beverage and Tobacco  GI",I:B4510GI,0.0,0.0,2422.11413121686,2422.11413121686,2422.11413121686,2422.11413121686,2422.11413121686
"OMX Baltic Food, Beverage and Tobacco  PI",I:B4510PI,0.0,0.0,1780.1922601533,1780.1922601533,1780.1922601533,1780.1922601533,1780.1922601533
OMX Baltic Consumer Staples GI,I:B45GI,-2.15,-0.154,1396.79170612147,1397.67352483436,1389.34425167794,1397.67352483436,1397.67352483436
OMX Baltic Consumer Staples PI,I:B45PI,-2.03,-0.154,1321.38568432702,1322.21989791683,1314.34028189284,1322.21989791683,1322.21989791683
OMX Baltic Construction and Materials GI,I:B5010GI,0.0,0.0,2623.22649283771,2623.22649283771,2623.22649283771,2623.22649283771,2623.22649283771
OMX Baltic Construction and Materials PI,I:B5010PI,0.0,0.0,1398.23129726354,1398.23129726354,1398.23129726354,1398.23129726354,1398.23129726354
OMX Baltic Industrial Goods and Services GI,I:B5020GI,0.0,0.0,1749.70964798674,1749.70964798674,1749.70964798674,1749.70964798674,1749.70964798674
OMX Baltic Industrial Goods and Services PI,I:B5020PI,0.0,0.0,1083.55441269177,1083.55441269177,1083.55441269177,1083.55441269177,1083.55441269177
Dow Jones BRIC Brazil 15 Index (USD),I:B50BRD,-1.85,-0.405,452.56,457.09000000000003,451.93,456.79,456.79
Dow Jones BRIC Brazil 15 Index (EUR),I:B50BRE,-2.85,-0.655,432.45,435.64,430.31,435.26,435.26
Dow Jones BRIC China 15 Index (USD),I:B50CND,-0.16,-0.0231,674.91,693.82,674.66,693.7,693.7
Dow Jones BRIC China 15 Index (EUR),I:B50CNE,-0.91,-0.138,644.42,660.23,644.42,660.1,660.1
OMX Baltic Industrials GI,I:B50GI,6.005,0.308,1952.25887777455,1953.84715153342,1947.65876563079,1947.65876563079,1947.65876563079
Dow Jones BRIC India 15 Index (USD),I:B50IND,-0.64,-0.0643,993.23,996.2,989.34,995.9,995.9
Dow Jones BRIC India 15 Index (EUR),I:B50INE,0.77,0.0815,949.16,953.1800000000001,944.86,945.2,945.2
OMX Baltic Industrials PI,I:B50PI,3.028,0.266,1140.16557070071,1141.0931603136,1137.47899590913,1137.95792674492,1137.95792674492
OMX Baltic Basic Resources GI,I:B5510GI,0.0,0.0,2531.51066910864,2531.51066910864,2531.51066910864,2531.51066910864,2531.51066910864
OMX Baltic Basic Resources PI,I:B5510PI,0.0,0.0,1799.47670825228,1799.47670825228,1799.47670825228,1799.47670825228,1799.47670825228
OMX Baltic Basic Materials GI,I:B55GI,-7.57,-0.42,1787.09550172421,1802.23500857604,1787.09550172421,1802.23500857604,1802.23500857604
OMX Baltic Basic Materials PI,I:B55PI,-5.48,-0.42,1294.04573443403,1305.00833505842,1294.04573443403,1305.00833505842,1305.00833505842
OMX Baltic Utilities GI,I:B65GI,14.714,0.411,3590.62048681098,3596.45665475926,3579.40639652882,3580.86543851589,3580.86543851589
OMX Baltic Utilities PI,I:B65PI,6.546,0.452,1453.167921254,1455.52988963151,1448.62944209031,1448.62944209031,1448.62944209031
Nasdaq Bank,I:BANK,-17.6,-0.505,3465.25472037255,3484.91643363378,3441.36257692733,3483.57404632229,3483.57404632229
Nasdaq Bank Total Return,I:BANKT,-4.26,-0.5,847.90252559868,852.71305288818,842.05696135305,852.34561553018,852.34561553018
Cboe 100 Basic Attention Token / US Dollar RealPrice Index,I:BAT100RP,0.0011,0.539,0.202757,0.21240499999999998,0.201339,0.201985,0.204145
Cboe 1000 Basic Attention Token / US Dollar RealPrice Index,I:BAT1KRP,0.00108,0.529,0.202763,0.212418,0.201234,0.201931,0.20416499999999999
Cboe 200 Basic Attention Token / US Dollar RealPrice Index,I:BAT200RP,0.00109,0.534,0.202756,0.21240499999999998,0.20132699999999998,0.20188899999999999,0.204155
Cboe 500 Basic Attention Token / US Dollar RealPrice Index,I:BAT500RP,0.00109,0.534,0.202756,0.212411,0.201236,0.20181,0.20416099999999998
Cboe 100 Bitcoin Cash / USD RealPrice,I:BCH100RP,8.32,3.422,242.44,255.70000000000002,242.08,254.12,243.14000000000001
Cboe 10 Bitcoin Cash / USD RealPrice,I:BCH10RP,8.37,3.442,242.45000000000002,255.64000000000001,242.07,254.14000000000001,243.14000000000001
Cboe 1 Bitcoin Cash / US Dollar RealPrice Index,I:BCH1RP,8.38,3.447,242.44,255.66,242.07,254.14000000000001,243.1
Cboe 20 Bitcoin Cash / USD RealPrice,I:BCH20RP,7.95,3.27,242.44,255.64000000000001,242.08,254.16,243.14000000000001
Cboe 40 Bitcoin Cash / USD RealPrice,I:BCH40RP,8.33,3.426,242.44,255.65,242.08,254.14000000000001,243.14000000000001
Cboe 5 Bitcoin Cash / USD RealPrice,I:BCH5RP,8.36,3.439,242.45000000000002,255.64000000000001,242.07,254.15,243.12
Bitcoin Cash vs Bitcoin,I:BCHBTC,0.0,0.0,0.007911,0.007911,0.007911,0.007911,0.007911
Bitcoin Cash vs US Dollar,I:BCHUSD,0.0,0.0,298.51,298.51,298.51,298.51,298.51
Cboe MSCI EAFE 20-Delta BuyWrite Index,I:BDEA,0.0,0.0,174.3,174.3,174.3,174.3,174.3
Cboe MSCI Emerging Markets 20-Delta BuyWrite Index,I:BDEF,0.0,0.0,254.66,254.66,254.66,254.66,254.66
Dow Jones Belgium Index,I:BEDOW,1.98,0.426,468.29,468.59000000000003,464.56,464.96000000000004,464.96000000000004
Dow Jones Belgium Index (USD),I:BEDOWD,0.19,0.0473,400.63,401.69,396.64,401.38,401.38
Nasdaq CTA Global Digital Health Index,I:BEWELL,-3.38,-0.42,791.21644026038,806.09228781613,791.03767129355,805.11544424371,805.11544424371
Nasdaq CTA Global Digital Health AUD Index,I:BEWELLAU,-5.25,-0.615,837.78495438251,855.49172053999,837.12202819642,853.80608477107,853.80608477107
Nasdaq CTA Global Digital Health Net Total Return AUD Index,I:BEWELLAUNR,-5.5,-0.642,839.92087703437,857.67278637894,839.25626072596,856.21880290825,856.21880290825
Nasdaq CTA Global Digital Health Gross Total Return AUD Index,I:BEWELLAUTR,-6.86,-0.799,840.86123828342,858.6330223663,840.19587788179,858.52693816329,858.52693816329
Nasdaq CTA Global Digital Health Net Total Return Index,I:BEWELLNR,-3.53,-0.437,793.23297890295,808.14673987899,793.05375431549,807.30745811669,807.30745811669
Nasdaq CTA Global Digital Health Gross Total Return Index,I:BEWELLTR,-3.9,-0.482,794.12078699414,809.05123986022,793.94136181361,808.57838771242,808.57838771242
Cboe S&P 500 Iron Butterfly Index,I:BFLY,1.22,0.286,428.03000000000003,428.41,426.12,426.19,426.19
Cboe MSCI EAFE Iron Butterfly Index,I:BFLYEA,0.0,0.0,25.03,25.03,25.03,25.03,25.03
Cboe MSCI Emerging Markets Iron Butterfly Index,I:BFLYEF,0.0,0.0,18.07,18.07,18.07,18.07,18.07
PROSHARES ULTRA NASDAQ BIOTECHNOLOGY ETF,I:BIBIV,-0.27,-0.508,52.09,53.2,51.71,53.120000000000005,53.120000000000005
ISE BICK Index,I:BIQ,0.0559,0.0225,244.46987598146,248.29065699483,244.01394093309,248.17703887093,248.17703887093
ISE BICK Net Total Return Index,I:BIQNTR,0.0577,0.0201,282.94878333688,287.37025991143,282.42116709066,287.2456799387,287.2456799387
ISE BICK Total Return Index,I:BIQTR,0.0799,0.0224,351.31483659114,356.80441719265,350.65976314193,356.64156135748,356.64156135748
PROSHARES ULTRASHORT NASDAQ BIOTECHNOLOGY ETF,I:BISIV,0.11,0.541,20.77,20.92,20.31,20.330000000000002,20.330000000000002
ProShares Short Bitcoin Strategy ETF,I:BITIIV,-0.06,-0.306,19.580000000000002,19.63,19.35,19.6,19.6
ProShares Bitcoin Strategy ETF,I:BITOIV,0.05,0.322,15.56,15.73,15.52,15.55,15.55
KBW Nasdaq Bank Index,I:BKX,-0.122,-0.137,89.05531544965,89.27531425207,88.37351788157,89.1331506032,89.1331506032
KBW Nasdaq Bank Net Total Return Index,I:BKXNTR,-1.5,-0.218,686.10877358288,687.80286476024,680.85862116311,687.27515316786,687.27515316786
KBW Nasdaq Bank Total Return Index,I:BKXTR,-0.274,-0.134,203.8251801974,204.3283433395,202.26582895161,203.99899268629,203.99899268629
Bitcoin Liquid Index,I:BLX,-199.0,-0.674,29217.66196823,29511.14550814,29132.17593643,29511.14550814,29511.14550814
Cboe 100 Binance Coin / US Dollar RealPrice Index,I:BNB100RP,0.0,0.0,280.987,286.38910000000004,268.2916,269.7514,269.7728
Cboe 20 Binance Coin / US Dollar RealPrice Index,I:BNB20RP,0.0,0.0,281.2022,286.8645,268.4083,269.5031,269.5031
Cboe 400 Binance Coin / US Dollar RealPrice Index,I:BNB400RP,0.0,0.0,280.2342,286.99510000000004,269.1447,272.259,270.2702
Cboe 5 Binance Coin / US Dollar RealPrice Index,I:BNB5RP,0.0,0.0,281.2083,287.1357,268.4327,269.6268,269.6268
Cboe 200 Bancor / US Dollar RealPrice Index,I:BNT200RP,-0.0136,-3.51,0.383,0.38470000000000004,0.36970000000000003,0.36970000000000003,0.3874
Cboe 2000 Bancor / US Dollar RealPrice Index,I:BNT2KRP,-0.0137,-3.53,0.3829,0.3846,0.3693,0.36970000000000003,0.3876
Cboe 500 Bancor / US Dollar RealPrice Index,I:BNT500RP,-0.0137,-3.54,0.3829,0.38470000000000004,0.36960000000000004,0.36970000000000003,0.3875
Cboe 50 Bancor / US Dollar RealPrice Index,I:BNT50RP,-0.0135,-3.48,0.383,0.38480000000000003,0.36970000000000003,0.3698,0.3874
PROSHARES ULTRA BLOOMBERG NATURAL GAS ETF,I:BOILIV,1.76,2.912,62.940000000000005,63.27,60.21,60.44,60.44
Dow Jones Brazil Titans 20 ADR Index,I:BR20,-36.2,-0.186,19325.87,19489.16,19325.87,19443.34,19443.34
Dow Jones BRIC 50 Index (USD),I:BRIC50D,0.0,0.0,558.41,567.39,557.99,567.39,567.39
Dow Jones BRIC 50 Index (EUR),I:BRIC50E,-0.63,-0.117,533.39,539.97,533.13,539.92,539.92
Cboe S&P 500 Index Binary Options,I:BSZ,17.74,0.389,4571.02,4590.1,4564.36,4564.49,4564.49
Cboe 10 Bitcoin / USD RealPrice,I:BTC10RP,-35.4,-0.121,29315.37,29444.43,29044.8,29069.760000000002,29263.52
Cboe 1 Bitcoin / USD RealPrice,I:BTC1RP,-37.7,-0.129,29315.56,29443.47,29046.82,29067.56,29265.11
Cboe 0.2 Bitcoin / USD RealPrice,I:BTC20PRP,-36.4,-0.124,29316.04,29443.0,29045.86,29064.75,29264.3
Cboe 20 Bitcoin / USD RealPrice,I:BTC20RP,-34.3,-0.117,29315.66,29445.52,29043.87,29069.34,29263.02
Cboe 5 Bitcoin / USD RealPrice,I:BTC5RP,-36.4,-0.124,29315.28,29443.61,29045.84,29070.260000000002,29264.16
Bitcoin vs US Dollar,I:BTCUSD,-23.8,-0.0813,29317.800000000003,29447.7,29038.600000000002,29060.800000000003,29261.4
Cboe DJIA BuyWrite Index,I:BXD,0.64,0.15,428.41,428.92,427.6,427.78000000000003,427.78000000000003
DJIA Cboe BuyWrite V2 Index,I:BXDE,0.65,0.151,431.71000000000004,432.22,430.88,431.06,431.06
,I:BXDEH,0.33,0.137,241.45000000000002,241.91,240.83,241.08,241.08
Cboe MSCI EAFE BuyWrite Index,I:BXEA,0.0,0.0,142.93,142.93,142.93,142.93,142.93
Cboe MSCI Emerging Markets BuyWrite Index,I:BXEF,0.0,0.0,217.56,217.56,217.56,217.56,217.56
Cboe S&P 500 ESG BuyWrite Index,I:BXESG,0.28,0.216,129.74,130.07,129.68,129.7,129.7
Cboe HYG BuyWrite Index,I:BXHB,-0.62,-0.0517,1192.26,1199.28,1192.26,1199.28,1199.28
Cboe LQD BuyWrite Index,I:BXLB,-0.35,-0.0295,1177.99,1185.3600000000001,1177.99,1185.3600000000001,1185.3600000000001
Cboe S&P Financials Select Sector Half BuyWrite Index,I:BXLFH,11.66,0.431,2733.4700000000003,2736.25,2705.54,2706.85,2706.85
Cboe S&P Technology Select Sector Half BuyWrite Index,I:BXLKH,30.15,0.413,7310.4400000000005,7342.78,7290.37,7297.78,7297.78
Cboe S&P Health Care Select Sector Half BuyWrite Index,I:BXLVH,-6.33,-0.0864,7322.21,7327.12,7276.42,7323.85,7323.85
Cboe S&P 500 BuyWrite Index,I:BXM,0.2,0.0114,1758.5900000000001,1760.99,1756.96,1760.52,1760.52
Cboe S&P 500 Conditional BuyWrite Index,I:BXMC,5.29,0.267,1984.77,1990.06,1982.24,1983.04,1983.04
Cboe S&P 500 30-Delta BuyWrite Index,I:BXMD,10.67,0.286,3732.46,3741.51,3727.2400000000002,3727.86,3727.86
Cboe S&P 500 Half BuyWrite Index,I:BXMH,5.85,0.281,2081.41,2086.95,2078.76,2079.29,2079.29
Cboe S&P 500 BuyWrite 15% WHT,I:BXMU,0.03,0.0117,256.71,257.14,256.52,257.06,257.06
Cboe S&P 500 Managed Volatility BuyWrite Index,I:BXMVM,0.17,0.0142,1197.83,1199.47,1196.72,1199.1100000000001,1199.1100000000001
Cboe S&P 500 Multi-Week BuyWrite Index,I:BXMW,-0.06,-0.0297,201.62,201.81,201.56,201.81,201.81
Cboe NASDAQ-100 BuyWrite Index,I:BXN,0.0,0.0,808.82,811.88,808.6700000000001,811.51,811.51
Cboe NASDAQ-100 Half BuyWrite V2 Index,I:BXNH,-0.51,-0.0879,576.36,580.22,576.28,580.14,580.14
Cboe NASDAQ-100 BuyWrite V2 Index,I:BXNT,-0.09,-0.01,892.84,896.21,892.6700000000001,895.9,895.9
Cboe NASDAQ-100 BuyWrite V2 UCITS Index,I:BXNTU,0.03,0.0112,266.84000000000003,267.85,266.79,267.69,267.69
Cboe Russell 2000 BuyWrite Index,I:BXR,0.0,0.0,320.42,321.45,320.34000000000003,321.39,321.39
Cboe Russell 2000 Conditional Buywrite Index,I:BXRC,-0.07,-0.0258,270.29,271.41,270.28000000000003,271.35,271.35
Cboe Russell 2000 30-Delta BuyWrite Index,I:BXRD,0.04,0.00926,430.58,432.31,430.56,432.14,432.14
